player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal,medal_score
75204,Valentino Gallo,M,Italy,ITA,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze,1
75210,Jacqueline Galloway,F,United States,USA,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Heavyweight,Bronze,1
75229,Gleb Galperin,M,Russia,RUS,2008,Summer,Beijing,Diving,Diving Men's Platform,Bronze,1
75230,Gleb Galperin,M,Russia,RUS,2008,Summer,Beijing,Diving,Diving Men's Synchronized Platform,Bronze,1
75234,Arsen Galstyan,M,Russia,RUS,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,Gold,3
75242,Rossano Galtarossa,M,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,Bronze,1
75244,Rossano Galtarossa,M,Italy,ITA,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold,3
75245,Rossano Galtarossa,M,Italy,ITA,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,Bronze,1
75246,Rossano Galtarossa,M,Italy,ITA,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver,2
75248,Vera Galushka-duyunova,F,Soviet Union,URS,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Gold,3
75249,Vera Galushka-duyunova,F,Soviet Union,URS,1972,Summer,Munich,Volleyball,Volleyball Women's Volleyball,Gold,3
75259,Mauro Galvo,M,Brazil,BRA,1984,Summer,Los Angeles,Football,Football Men's Football,Silver,2
75266,Felicity Galvez,F,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,3
75267,Felicity Galvez,F,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,3
75283,Carlos Pavon,M,Paraguay,PAR,2004,Summer,Athina,Football,Football Men's Football,Silver,2
75286,Pedro Gamarro,M,Venezuela,VEN,1976,Summer,Montreal,Boxing,Boxing Men's Welterweight,Silver,2
